new_geneID	originalID	chromosome	start	end	strand
contig_517	MRS000517	MRS.Chr	567243	568763	+
contig_518	MRS000518	MRS.Chr	568846	570294	+
contig_519	MRS000519	MRS.Chr	570365	570994	-
contig_520	MRS000520	MRS.Chr	571119	571256	+
contig_521	MRS000521	MRS.Chr	571329	573152	+
contig_522	MRS000522	MRS.Chr	573292	573534	+
contig_523	MRS000523	MRS.Chr	573975	575330	+
contig_524	MRS000524	MRS.Chr	575311	575724	-
contig_525	MRS000525	MRS.Chr	575801	576181	+
contig_526	MRS000526	MRS.Chr	576174	577088	+
contig_527	MRS000527	MRS.Chr	577286	577798	+
contig_528	MRS000528	MRS.Chr	577863	578948	+
contig_529	MRS000529	MRS.Chr	578945	581413	+
contig_530	MRS000530	MRS.Chr	581483	582535	+
contig_531	MRS000531	MRS.Chr	582678	583973	+
contig_532	MRS000532	MRS.Chr	584108	584347	+
contig_533	MRS000533	MRS.Chr	584609	585043	+
contig_534	MRS000534	MRS.Chr	585046	585504	+
contig_535	MRS000535	MRS.Chr	585516	586487	+
contig_536	MRS000536	MRS.Chr	586537	586776	+
contig_537	MRS000537	MRS.Chr	586807	587754	+
contig_538	MRS000538	MRS.Chr	587771	588700	+
contig_539	MRS000539	MRS.Chr	588712	589434	+
contig_540	MRS000540	MRS.Chr	589522	590757	+
contig_541	MRS000541	MRS.Chr	590757	591221	+
contig_542	MRS000542	MRS.Chr	591233	591664	+
contig_543	MRS000543	MRS.Chr	591667	593043	+
contig_544	MRS000544	MRS.Chr	593054	593899	+
contig_545	MRS000545	MRS.Chr	593902	594687	+
contig_546	MRS000546	MRS.Chr	595019	595780	+
contig_547	MRS000547	MRS.Chr	595856	597589	+
contig_548	MRS000548	MRS.Chr	597830	598411	+
contig_549	MRS000549	MRS.Chr	598425	599315	+
contig_550	MRS000550	MRS.Chr	599448	600857	+
contig_551	MRS000551	MRS.Chr	600989	601537	+
contig_552	MRS000552	MRS.Chr	601670	602665	+
contig_553	MRS000553	MRS.Chr	602691	603980	+
contig_554	MRS000554	MRS.Chr	604308	604946	+
contig_555	MRS000555	MRS.Chr	605026	605682	-
contig_556	MRS000556	MRS.Chr	605918	606184	+
contig_557	MRS000557	MRS.Chr	606329	606868	-
contig_558	MRS000558	MRS.Chr	607217	608209	+
contig_559	MRS000559	MRS.Chr	608248	609270	+
contig_560	MRS000560	MRS.Chr	609464	610819	-
contig_561	MRS000561	MRS.Chr	611163	612308	+
contig_562	MRS000562	MRS.Chr	612329	613615	+
contig_563	MRS000563	MRS.Chr	613646	614356	+
contig_564	MRS000564	MRS.Chr	614368	615519	+
contig_565	MRS000565	MRS.Chr	615534	616409	+
contig_566	MRS000566	MRS.Chr	616414	617154	+
contig_567	MRS000567	MRS.Chr	617194	618375	+
contig_568	MRS000568	MRS.Chr	618405	619475	+
contig_569	MRS000569	MRS.Chr	619607	620344	-
contig_570	MRS000570	MRS.Chr	620580	621773	+
contig_571	MRS000571	MRS.Chr	621970	622584	+
contig_572	MRS000572	MRS.Chr	622753	623565	+
contig_573	MRS000573	MRS.Chr	623567	624547	+
contig_574	MRS000574	MRS.Chr	624557	625621	+
contig_575	MRS000575	MRS.Chr	625634	626803	+
contig_576	MRS000576	MRS.Chr	626829	628121	+
contig_577	MRS000577	MRS.Chr	628123	628650	+
contig_578	MRS000578	MRS.Chr	628625	629356	+
contig_579	MRS000579	MRS.Chr	629349	630047	+
contig_580	MRS000580	MRS.Chr	630313	630981	-
contig_581	MRS000581	MRS.Chr	630974	632389	-
contig_582	MRS000582	MRS.Chr	632394	632957	-
contig_583	MRS000583	MRS.Chr	633341	634312	+
contig_584	MRS000584	MRS.Chr	634346	635335	+
contig_585	MRS000585	MRS.Chr	635428	636351	+
contig_586	MRS000586	MRS.Chr	636354	636842	+
contig_587	MRS000587	MRS.Chr	637002	637211	-
contig_588	MRS000588	MRS.Chr	637281	638675	+
contig_589	MRS000589	MRS.Chr	638864	639178	+
contig_590	MRS000590	MRS.Chr	639171	639788	+
contig_591	MRS000591	MRS.Chr	639790	640599	+
contig_592	MRS000592	MRS.Chr	640778	643144	+
contig_593	MRS000593	MRS.Chr	643187	644005	+
contig_594	MRS000594	MRS.Chr	644185	645585	+
contig_595	MRS000595	MRS.Chr	645622	645948	+
contig_596	MRS000596	MRS.Chr	645948	647405	+
contig_597	MRS000597	MRS.Chr	647405	648850	+
contig_598	MRS000598	MRS.Chr	649217	650167	+
contig_599	MRS000599	MRS.Chr	650419	651717	+
contig_600	MRS000600	MRS.Chr	651719	652324	+
contig_601	MRS000601	MRS.Chr	652358	653884	+
contig_602	MRS000602	MRS.Chr	653988	654290	+
contig_603	MRS000603	MRS.Chr	654290	655975	+
contig_604	MRS000604	MRS.Chr	656325	656792	+
contig_605	MRS000605	MRS.Chr	656794	658986	+
contig_606	MRS000606	MRS.Chr	659039	659383	+
contig_607	MRS000607	MRS.Chr	659705	660898	+
contig_608	MRS000608	MRS.Chr	660879	663224	+
contig_609	MRS000609	MRS.Chr	663234	664202	+
contig_610	MRS000610	MRS.Chr	664299	665831	+
contig_611	MRS000611	MRS.Chr	665974	666441	+
contig_612	MRS000612	MRS.Chr	666425	667876	+
contig_613	MRS000613	MRS.Chr	667968	668525	+
contig_614	MRS000614	MRS.Chr	668570	670261	+
contig_615	MRS000615	MRS.Chr	670611	672113	+
contig_616	MRS000616	MRS.Chr	672343	673608	+
contig_617	MRS000617	MRS.Chr	673574	674887	+
contig_618	MRS000618	MRS.Chr	674949	675896	+
contig_619	MRS000619	MRS.Chr	675918	676502	+
contig_620	MRS000620	MRS.Chr	676791	677264	+
contig_621	MRS000621	MRS.Chr	677331	678497	+
contig_622	MRS000622	MRS.Chr	678624	680906	+
contig_623	MRS000623	MRS.Chr	680913	681857	+
contig_624	MRS000624	MRS.Chr	682227	683006	+
contig_625	MRS000625	MRS.Chr	683325	684869	+
contig_626	MRS000626	MRS.Chr	684875	685627	+
contig_627	MRS000627	MRS.Chr	685887	686087	+
contig_628	MRS000628	MRS.Chr	686172	687065	+
contig_629	MRS000629	MRS.Chr	687213	688313	+
contig_630	MRS000630	MRS.Chr	688550	689821	-
contig_631	MRS000631	MRS.Chr	689965	690594	+
contig_632	MRS000632	MRS.Chr	690639	691184	+
contig_633	MRS000633	MRS.Chr	691171	691608	+
contig_634	MRS000634	MRS.Chr	691720	692673	+
contig_635	MRS000635	MRS.Chr	692775	694241	+
contig_636	MRS000636	MRS.Chr	694364	695317	+
contig_637	MRS000637	MRS.Chr	695347	695682	+
contig_638	MRS000638	MRS.Chr	695836	697170	-
contig_639	MRS000639	MRS.Chr	697318	698178	-
contig_640	MRS000640	MRS.Chr	698187	698708	-
contig_641	MRS000641	MRS.Chr	698886	699671	+
contig_642	MRS000642	MRS.Chr	699729	700430	+
contig_643	MRS000643	MRS.Chr	700451	700660	+
contig_644	MRS000644	MRS.Chr	700741	701550	+
contig_645	MRS000645	MRS.Chr	701620	702315	-
contig_646	MRS000646	MRS.Chr	702446	703945	+
contig_647	MRS000647	MRS.Chr	703973	704293	+
contig_648	MRS000648	MRS.Chr	704338	704661	+
contig_649	MRS000649	MRS.Chr	704663	706123	+
contig_650	MRS000650	MRS.Chr	706168	707448	+
contig_651	MRS000651	MRS.Chr	707531	708640	+
contig_652	MRS000652	MRS.Chr	708875	709366	+
contig_653	MRS000653	MRS.Chr	709385	710737	+
contig_654	MRS000654	MRS.Chr	710758	712191	+
contig_655	MRS000655	MRS.Chr	712364	713098	+
contig_656	MRS000656	MRS.Chr	713187	714164	+
contig_657	MRS000657	MRS.Chr	714324	715106	+
contig_658	MRS000658	MRS.Chr	715124	715492	+
contig_659	MRS000659	MRS.Chr	715625	716908	+
contig_660	MRS000660	MRS.Chr	717135	717707	+
contig_661	MRS000661	MRS.Chr	717776	718789	-
contig_662	MRS000662	MRS.Chr	719204	719965	+
contig_663	MRS000663	MRS.Chr	719967	721262	+
contig_664	MRS000664	MRS.Chr	721287	722249	+
contig_665	MRS000665	MRS.Chr	722249	722872	+
contig_666	MRS000666	MRS.Chr	722869	723411	+
contig_667	MRS000667	MRS.Chr	723434	724078	+
contig_668	MRS000668	MRS.Chr	724244	724576	+
contig_669	MRS000669	MRS.Chr	724581	725381	+
contig_670	MRS000670	MRS.Chr	725606	725770	+
contig_671	MRS000671	MRS.Chr	726777	727721	+
contig_672	MRS000672	MRS.Chr	728371	730083	+
contig_673	MRS000673	MRS.Chr	730562	731395	+
contig_674	MRS000674	MRS.Chr	731388	731906	+
contig_675	MRS000675	MRS.Chr	732013	733293	+
contig_676	MRS000676	MRS.Chr	733299	734123	+
contig_677	MRS000677	MRS.Chr	734134	734523	+
contig_678	MRS000678	MRS.Chr	734580	735320	+
contig_679	MRS000679	MRS.Chr	735337	739332	+
contig_680	MRS000680	MRS.Chr	739354	739800	+
contig_681	MRS000681	MRS.Chr	739813	741057	+
contig_682	MRS000682	MRS.Chr	741157	742551	+
contig_683	MRS000683	MRS.Chr	742548	746009	+
contig_684	MRS000684	MRS.Chr	746550	747692	+
contig_685	MRS000685	MRS.Chr	748089	748274	+
contig_686	MRS000686	MRS.Chr	748502	750205	+
contig_687	MRS000687	MRS.Chr	750195	750353	-
contig_688	MRS000688	MRS.Chr	750596	751444	-
contig_689	MRS000689	MRS.Chr	751471	751968	-
contig_690	MRS000690	MRS.Chr	751997	752128	-
contig_691	MRS000691	MRS.Chr	752248	752403	+
contig_692	MRS000692	MRS.Chr	752463	752687	+
contig_693	MRS000693	MRS.Chr	752687	753127	+
contig_694	MRS000694	MRS.Chr	753197	753304	+
contig_695	MRS000695	MRS.Chr	753515	755089	+
contig_696	MRS000696	MRS.Chr	755182	755373	-
contig_697	MRS000697	MRS.Chr	755682	756464	+
contig_698	MRS000698	MRS.Chr	756496	757119	+
contig_699	MRS000699	MRS.Chr	757279	758052	+
contig_700	MRS000700	MRS.Chr	758110	759285	+
contig_701	MRS000701	MRS.Chr	759529	760986	+
contig_702	MRS000702	MRS.Chr	761041	761970	+
contig_703	MRS000703	MRS.Chr	762723	763748	+
contig_704	MRS000704	MRS.Chr	763768	764334	+
contig_705	MRS000705	MRS.Chr	764390	766225	+
contig_706	MRS000706	MRS.Chr	766330	767253	+
contig_707	MRS000707	MRS.Chr	767332	767604	+
contig_708	MRS000708	MRS.Chr	767619	768362	+
contig_709	MRS000709	MRS.Chr	768468	769487	+
contig_710	MRS000710	MRS.Chr	769502	771808	+
contig_711	MRS000711	MRS.Chr	771813	772328	+
contig_712	MRS000712	MRS.Chr	772667	773266	+
contig_713	MRS000713	MRS.Chr	773345	773473	+
contig_714	MRS000714	MRS.Chr	773503	773868	+
contig_715	MRS000715	MRS.Chr	774044	774499	-
contig_716	MRS000716	MRS.Chr	774492	774641	-
contig_717	MRS000717	MRS.Chr	774770	775144	-
contig_718	MRS000718	MRS.Chr	775462	775716	-
contig_719	MRS000719	MRS.Chr	775867	776463	+
contig_720	MRS000720	MRS.Chr	776592	777257	+
contig_721	MRS000721	MRS.Chr	777337	777912	-
contig_722	MRS000722	MRS.Chr	778012	778302	+
contig_723	MRS000723	MRS.Chr	778375	778611	+
contig_724	MRS000724	MRS.Chr	778728	779369	-
contig_725	MRS000725	MRS.Chr	779424	780212	+
contig_726	MRS000726	MRS.Chr	780205	780492	+
contig_727	MRS000727	MRS.Chr	780639	781415	+
contig_728	MRS000728	MRS.Chr	781592	782473	+
contig_729	MRS000729	MRS.Chr	782494	783216	+
contig_730	MRS000730	MRS.Chr	783221	783778	+
contig_731	MRS000731	MRS.Chr	783976	785085	+
contig_732	MRS000732	MRS.Chr	785320	786504	+
contig_733	MRS000733	MRS.Chr	786591	786722	+
contig_734	MRS000734	MRS.Chr	786978	788795	+
contig_735	MRS000735	MRS.Chr	788908	789738	+
contig_736	MRS000736	MRS.Chr	789868	791070	+
contig_737	MRS000737	MRS.Chr	791077	792978	+
contig_738	MRS000738	MRS.Chr	792980	793477	+
contig_739	MRS000739	MRS.Chr	793571	793759	+
contig_740	MRS000740	MRS.Chr	793888	797256	+
contig_741	MRS000741	MRS.Chr	797405	799645	+
contig_742	MRS000742	MRS.Chr	799645	800091	+
contig_743	MRS000743	MRS.Chr	800230	800406	+
contig_744	MRS000744	MRS.Chr	800492	801457	+
contig_745	MRS000745	MRS.Chr	801692	802243	-
contig_746	MRS000746	MRS.Chr	802485	803357	+
contig_747	MRS000747	MRS.Chr	803359	804267	+
contig_748	MRS000748	MRS.Chr	804290	804655	+
contig_749	MRS000749	MRS.Chr	804652	805443	+
contig_750	MRS000750	MRS.Chr	805433	806074	+
contig_751	MRS000751	MRS.Chr	806074	806841	+
contig_752	MRS000752	MRS.Chr	807134	807712	+
contig_753	MRS000753	MRS.Chr	807779	808846	+
contig_754	MRS000754	MRS.Chr	808853	810292	+
contig_755	MRS000755	MRS.Chr	810378	810983	+
contig_756	MRS000756	MRS.Chr	811107	811790	+
contig_757	MRS000757	MRS.Chr	811888	813105	+
contig_758	MRS000758	MRS.Chr	813439	814749	+
contig_759	MRS000759	MRS.Chr	814957	815232	+
contig_760	MRS000760	MRS.Chr	815361	816167	+
contig_761	MRS000761	MRS.Chr	816173	816679	+
contig_762	MRS000762	MRS.Chr	816917	818089	+
contig_763	MRS000763	MRS.Chr	818091	821297	+
contig_764	MRS000764	MRS.Chr	821466	821942	-
contig_765	MRS000765	MRS.Chr	822058	823761	+
contig_766	MRS000766	MRS.Chr	823772	823912	+
contig_767	MRS000767	MRS.Chr	823934	825202	+
contig_768	MRS000768	MRS.Chr	825354	826055	+
contig_769	MRS000769	MRS.Chr	826042	826839	+
contig_770	MRS000770	MRS.Chr	826859	828094	+
contig_771	MRS000771	MRS.Chr	828155	828337	+
contig_772	MRS000772	MRS.Chr	828473	831910	+
contig_773	MRS000773	MRS.Chr	832055	832687	+
contig_774	MRS000774	MRS.Chr	832876	833031	+
contig_775	MRS000775	MRS.Chr	833034	833303	+
contig_776	MRS000776	MRS.Chr	833451	834641	+
contig_777	MRS000777	MRS.Chr	834739	835845	+
contig_778	MRS000778	MRS.Chr	835971	836627	-
contig_779	MRS000779	MRS.Chr	836829	837644	+
contig_780	MRS000780	MRS.Chr	837787	839208	+
contig_781	MRS000781	MRS.Chr	839240	840406	+
contig_782	MRS000782	MRS.Chr	840424	841929	+
contig_783	MRS000783	MRS.Chr	842021	842593	+
contig_784	MRS000784	MRS.Chr	842722	844053	+
contig_785	MRS000785	MRS.Chr	844352	844555	+
contig_786	MRS000786	MRS.Chr	844703	846025	+
contig_787	MRS000787	MRS.Chr	846168	847901	-
contig_788	MRS000788	MRS.Chr	848026	848649	+
contig_789	MRS000789	MRS.Chr	848756	849256	+
contig_790	MRS000790	MRS.Chr	849304	851085	-
contig_791	MRS000791	MRS.Chr	851348	851617	+
contig_792	MRS000792	MRS.Chr	851729	853663	-
contig_793	MRS000793	MRS.Chr	853845	856064	+
contig_794	MRS000794	MRS.Chr	856143	857087	+
contig_795	MRS000795	MRS.Chr	857142	857792	-
contig_796	MRS000796	MRS.Chr	858048	859040	+
contig_797	MRS000797	MRS.Chr	859943	860734	+
contig_798	MRS000798	MRS.Chr	861064	861195	+
contig_799	MRS000799	MRS.Chr	861304	862269	+
contig_800	MRS000800	MRS.Chr	862651	864333	+
contig_801	MRS000801	MRS.Chr	864880	865884	+
contig_802	MRS000802	MRS.Chr	865881	866783	+
contig_803	MRS000803	MRS.Chr	866773	867546	+
contig_804	MRS000804	MRS.Chr	867737	868111	+
contig_805	MRS000805	MRS.Chr	868101	869960	+
contig_806	MRS000806	MRS.Chr	869983	870825	+
contig_807	MRS000807	MRS.Chr	870883	871308	-
contig_808	MRS000808	MRS.Chr	871507	872841	+
contig_809	MRS000809	MRS.Chr	872913	873764	-
contig_810	MRS000810	MRS.Chr	873914	874459	+
contig_811	MRS000811	MRS.Chr	874510	874866	-
contig_812	MRS000812	MRS.Chr	874888	875964	-
contig_813	MRS000813	MRS.Chr	876079	876624	+
contig_814	MRS000814	MRS.Chr	876689	878647	-
contig_815	MRS000815	MRS.Chr	878797	879303	+
contig_816	MRS000816	MRS.Chr	879675	879914	-
contig_817	MRS000817	MRS.Chr	879898	880230	-
contig_818	MRS000818	MRS.Chr	880375	881148	+
contig_819	MRS000819	MRS.Chr	881166	881396	+
contig_820	MRS000820	MRS.Chr	881519	882433	-
contig_821	MRS000821	MRS.Chr	882450	883475	-
contig_822	MRS000822	MRS.Chr	883474	883872	+
contig_823	MRS000823	MRS.Chr	884052	884723	+
contig_824	MRS000824	MRS.Chr	884771	885058	+
contig_825	MRS000825	MRS.Chr	885113	886000	-
contig_826	MRS000826	MRS.Chr	886510	887364	+
contig_827	MRS000827	MRS.Chr	887420	888664	+
contig_828	MRS000828	MRS.Chr	888778	890025	+
contig_829	MRS000829	MRS.Chr	890234	890395	-
contig_830	MRS000830	MRS.Chr	890527	890811	+
contig_831	MRS000831	MRS.Chr	891101	891823	-
contig_832	MRS000832	MRS.Chr	891937	892677	-
contig_833	MRS000833	MRS.Chr	892831	893238	+
contig_834	MRS000834	MRS.Chr	893976	894527	-
contig_835	MRS000835	MRS.Chr	894582	895109	-
contig_836	MRS000836	MRS.Chr	895106	895927	-
contig_837	MRS000837	MRS.Chr	895930	896478	-
contig_838	MRS000838	MRS.Chr	896621	897061	-
contig_839	MRS000839	MRS.Chr	897206	898573	-
contig_840	MRS000840	MRS.Chr	898911	899339	-
contig_841	MRS000841	MRS.Chr	899517	900800	+
contig_842	MRS000842	MRS.Chr	901244	901732	+
contig_843	MRS000843	MRS.Chr	901788	902438	+
contig_844	MRS000844	MRS.Chr	902462	903025	+
contig_845	MRS000845	MRS.Chr	903458	904639	-
contig_846	MRS000846	MRS.Chr	904662	904799	+
contig_847	MRS000847	MRS.Chr	904833	904955	+
contig_848	MRS000848	MRS.Chr	904965	905672	-
contig_849	MRS000849	MRS.Chr	905800	906237	+
contig_850	MRS000850	MRS.Chr	906588	907919	+
contig_851	MRS000851	MRS.Chr	907912	908724	+
contig_852	MRS000852	MRS.Chr	908721	909491	+
contig_853	MRS000853	MRS.Chr	909488	910558	+
contig_854	MRS000854	MRS.Chr	910549	910698	+
contig_855	MRS000855	MRS.Chr	910710	911879	+
contig_856	MRS000856	MRS.Chr	912083	913036	-
contig_857	MRS000857	MRS.Chr	913062	914687	-
contig_858	MRS000858	MRS.Chr	914777	915697	+
contig_859	MRS000859	MRS.Chr	915828	917006	-
contig_860	MRS000860	MRS.Chr	916999	917328	+
contig_861	MRS000861	MRS.Chr	917803	918213	-
contig_862	MRS000862	MRS.Chr	918336	919013	+
contig_863	MRS000863	MRS.Chr	919025	919711	+
contig_864	MRS000864	MRS.Chr	919731	920333	-
contig_865	MRS000865	MRS.Chr	920488	921564	+
contig_866	MRS000866	MRS.Chr	921594	922052	+
contig_867	MRS000867	MRS.Chr	922946	923596	+
contig_868	MRS000868	MRS.Chr	923620	924183	+
contig_869	MRS000869	MRS.Chr	924295	924690	+
contig_870	MRS000870	MRS.Chr	924701	925252	+
contig_871	MRS000871	MRS.Chr	925265	925348	+
contig_872	MRS000872	MRS.Chr	925953	926288	-
contig_873	MRS000873	MRS.Chr	926475	927506	+
contig_874	MRS000874	MRS.Chr	927657	927830	+
contig_875	MRS000875	MRS.Chr	928171	930006	+
contig_876	MRS000876	MRS.Chr	929999	931810	+
contig_877	MRS000877	MRS.Chr	931967	932536	-
contig_878	MRS000878	MRS.Chr	933451	933873	+
contig_879	MRS000879	MRS.Chr	933863	934048	+
contig_880	MRS000880	MRS.Chr	934465	934548	+
contig_881	MRS000881	MRS.Chr	934727	934948	+
contig_882	MRS000882	MRS.Chr	934961	935425	-
contig_883	MRS000883	MRS.Chr	935949	936653	+
contig_884	MRS000884	MRS.Chr	937200	937436	+
contig_885	MRS000885	MRS.Chr	937430	937567	-
contig_886	MRS000886	MRS.Chr	937891	937977	+
contig_887	MRS000887	MRS.Chr	938277	938462	+
contig_888	MRS000888	MRS.Chr	938452	938679	+
contig_889	MRS000889	MRS.Chr	938693	939013	+
contig_890	MRS000890	MRS.Chr	939034	939453	+
contig_891	MRS000891	MRS.Chr	939463	940479	+
contig_892	MRS000892	MRS.Chr	940789	941100	+
contig_893	MRS000893	MRS.Chr	941111	941899	+
contig_894	MRS000894	MRS.Chr	941899	942579	+
contig_895	MRS000895	MRS.Chr	942572	942910	+
contig_896	MRS000896	MRS.Chr	942912	944363	+
contig_897	MRS000897	MRS.Chr	944953	945492	+
contig_898	MRS000898	MRS.Chr	945612	946895	+
contig_899	MRS000899	MRS.Chr	947068	947325	+
contig_900	MRS000900	MRS.Chr	947462	948244	+
contig_901	MRS000901	MRS.Chr	948244	948867	+
contig_902	MRS000902	MRS.Chr	949122	949367	+
contig_903	MRS000903	MRS.Chr	949367	950695	+
contig_904	MRS000904	MRS.Chr	950688	951071	+
contig_905	MRS000905	MRS.Chr	951836	953620	+
contig_906	MRS000906	MRS.Chr	953664	954383	+
contig_907	MRS000907	MRS.Chr	954435	955430	+
contig_908	MRS000908	MRS.Chr	955508	956338	+
contig_909	MRS000909	MRS.Chr	956912	957001	-
contig_910	MRS000910	MRS.Chr	957075	957158	-
contig_911	MRS000911	MRS.Chr	957184	957408	-
contig_912	MRS000912	MRS.Chr	957640	957918	-
contig_913	MRS000913	MRS.Chr	958261	958455	-
contig_914	MRS000914	MRS.Chr	958468	958653	-
contig_915	MRS000915	MRS.Chr	958666	959085	-
contig_916	MRS000916	MRS.Chr	959095	959319	-
contig_917	MRS000917	MRS.Chr	959693	960091	+
contig_918	MRS000918	MRS.Chr	960283	960531	+
contig_919	MRS000919	MRS.Chr	960521	962764	+
contig_920	MRS000920	MRS.Chr	962761	963354	+
contig_921	MRS000921	MRS.Chr	963329	965248	+
contig_922	MRS000922	MRS.Chr	965241	967268	+
contig_923	MRS000923	MRS.Chr	967276	968397	+
contig_924	MRS000924	MRS.Chr	968424	970775	+
contig_925	MRS000925	MRS.Chr	970830	971384	+
contig_926	MRS000926	MRS.Chr	971501	971776	-
contig_927	MRS000927	MRS.Chr	971779	972153	-
contig_928	MRS000928	MRS.Chr	972233	972577	-
contig_929	MRS000929	MRS.Chr	972872	973078	+
contig_930	MRS000930	MRS.Chr	973421	973597	-
contig_931	MRS000931	MRS.Chr	973814	974827	-
contig_932	MRS000932	MRS.Chr	975033	976415	+
contig_933	MRS000933	MRS.Chr	976465	978150	+
contig_934	MRS000934	MRS.Chr	978201	978995	-
contig_935	MRS000935	MRS.Chr	979128	980399	-
contig_936	MRS000936	MRS.Chr	980610	980909	-
contig_937	MRS000937	MRS.Chr	980968	981588	-
contig_938	MRS000938	MRS.Chr	981585	982409	-
contig_939	MRS000939	MRS.Chr	982623	984041	-
contig_940	MRS000940	MRS.Chr	984309	984458	-
contig_941	MRS000941	MRS.Chr	984576	985526	-
contig_942	MRS000942	MRS.Chr	985599	986516	-
contig_943	MRS000943	MRS.Chr	986612	987037	+
contig_944	MRS000944	MRS.Chr	987112	987774	-
contig_945	MRS000945	MRS.Chr	987758	988867	-
contig_946	MRS000946	MRS.Chr	988873	989571	-
contig_947	MRS000947	MRS.Chr	989692	990117	+
contig_948	MRS000948	MRS.Chr	990121	990378	+
contig_949	MRS000949	MRS.Chr	990625	992091	+
contig_950	MRS000950	MRS.Chr	992151	994166	-
contig_951	MRS000951	MRS.Chr	994279	994914	-
contig_952	MRS000952	MRS.Chr	995017	996210	-
contig_953	MRS000953	MRS.Chr	996251	998278	-
contig_954	MRS000954	MRS.Chr	998296	1000572	-
contig_955	MRS000955	MRS.Chr	1000608	1001741	-
contig_956	MRS000956	MRS.Chr	1002243	1002659	-
contig_957	MRS000957	MRS.Chr	1002747	1003316	-
contig_958	MRS000958	MRS.Chr	1003432	1004058	+
contig_959	MRS000959	MRS.Chr	1004055	1006370	+
contig_960	MRS000960	MRS.Chr	1006531	1007271	-
contig_961	MRS000961	MRS.Chr	1007446	1008741	-
contig_962	MRS000962	MRS.Chr	1008772	1009284	-
contig_963	MRS000963	MRS.Chr	1009368	1012199	-
contig_964	MRS000964	MRS.Chr	1012460	1013398	+
contig_965	MRS000965	MRS.Chr	1013416	1014396	+
contig_966	MRS000966	MRS.Chr	1014393	1015460	+
contig_967	MRS000967	MRS.Chr	1015457	1016506	+
contig_968	MRS000968	MRS.Chr	1016624	1017166	+
contig_969	MRS000969	MRS.Chr	1017221	1018174	-
contig_970	MRS000970	MRS.Chr	1018267	1019283	-
contig_971	MRS000971	MRS.Chr	1019351	1020829	-
contig_972	MRS000972	MRS.Chr	1020845	1021534	-
contig_973	MRS000973	MRS.Chr	1021627	1022403	-
contig_974	MRS000974	MRS.Chr	1022400	1023515	-
contig_975	MRS000975	MRS.Chr	1023515	1024495	-
contig_976	MRS000976	MRS.Chr	1024498	1025844	-
contig_977	MRS000977	MRS.Chr	1025863	1026465	-
contig_978	MRS000978	MRS.Chr	1026462	1027298	-
contig_979	MRS000979	MRS.Chr	1027598	1027954	-
contig_980	MRS000980	MRS.Chr	1027988	1028926	-
contig_981	MRS000981	MRS.Chr	1028934	1030277	-
contig_982	MRS000982	MRS.Chr	1030270	1030740	-
contig_983	MRS000983	MRS.Chr	1030928	1031578	-
contig_984	MRS000984	MRS.Chr	1031628	1031990	-
contig_985	MRS000985	MRS.Chr	1031987	1032283	-
contig_986	MRS000986	MRS.Chr	1032283	1032372	-
contig_987	MRS000987	MRS.Chr	1032484	1032708	+
contig_988	MRS000988	MRS.Chr	1032759	1032989	-
contig_989	MRS000989	MRS.Chr	1033048	1033401	+
contig_990	MRS000990	MRS.Chr	1033379	1033720	+
contig_991	MRS000991	MRS.Chr	1034165	1034506	+
contig_992	MRS000992	MRS.Chr	1034553	1034765	+
contig_993	MRS000993	MRS.Chr	1034822	1035148	+
contig_994	MRS000994	MRS.Chr	1035203	1035565	+
contig_995	MRS000995	MRS.Chr	1035848	1036132	-
contig_996	MRS000996	MRS.Chr	1036146	1036280	-
contig_997	MRS000997	MRS.Chr	1036297	1036434	-
contig_998	MRS000998	MRS.Chr	1036796	1037140	+
contig_999	MRS000999	MRS.Chr	1037686	1038399	-
contig_1000	MRS001000	MRS.Chr	1038595	1039560	-
contig_1001	MRS001001	MRS.Chr	1039541	1041430	-
contig_1002	MRS001002	MRS.Chr	1041599	1044298	-
contig_1003	MRS001003	MRS.Chr	1044430	1045149	-
contig_1004	MRS001004	MRS.Chr	1045261	1046601	-
contig_1005	MRS001005	MRS.Chr	1046708	1047058	-
contig_1006	MRS001006	MRS.Chr	1047074	1047712	-
contig_1007	MRS001007	MRS.Chr	1047755	1048828	-
contig_1008	MRS001008	MRS.Chr	1048858	1049493	-
contig_1009	MRS001009	MRS.Chr	1049527	1050903	-
contig_1010	MRS001010	MRS.Chr	1050912	1051631	-
contig_1011	MRS001011	MRS.Chr	1051747	1052976	-
contig_1012	MRS001012	MRS.Chr	1052995	1053936	-
contig_1013	MRS001013	MRS.Chr	1054038	1055174	-
contig_1014	MRS001014	MRS.Chr	1055185	1057050	-
contig_1015	MRS001015	MRS.Chr	1057268	1057357	-
contig_1016	MRS001016	MRS.Chr	1057469	1058500	-
contig_1017	MRS001017	MRS.Chr	1058653	1059174	+
contig_1018	MRS001018	MRS.Chr	1059183	1060043	+
contig_1019	MRS001019	MRS.Chr	1061045	1062268	-
contig_1020	MRS001020	MRS.Chr	1062269	1062727	-
contig_1021	MRS001021	MRS.Chr	1062978	1063817	-
contig_1022	MRS001022	MRS.Chr	1063858	1064895	-
contig_1023	MRS001023	MRS.Chr	1064911	1065501	-
contig_1024	MRS001024	MRS.Chr	1065512	1066384	-
contig_1025	MRS001025	MRS.Chr	1066381	1067421	-
contig_1026	MRS001026	MRS.Chr	1067496	1067843	-
contig_1027	MRS001027	MRS.Chr	1068370	1069917	-
